ImageId,Label
1,2
2,4
3,9
4,9
5,9
6,5
7,9
8,9
9,8
10,4
11,4
12,2
13,4
14,8
15,5
16,9
17,4
18,3
19,4
20,4
21,8
22,9
23,9
24,2
25,9
26,9
27,2
28,9
29,9
30,3
31,9
32,4
33,4
34,2
35,4
36,7
37,4
38,4
39,4
40,4
41,3
42,4
43,9
44,4
45,4
46,4
47,9
48,9
49,4
50,9
51,4
52,4
53,9
54,9
55,4
56,0
57,9
58,9
59,7
60,5
61,9
62,9
63,9
64,4
65,5
66,4
67,3
68,9
69,4
70,9
71,2
72,8
73,9
74,4
75,9
76,8
77,4
78,9
79,5
80,3
81,2
82,4
83,9
84,9
85,9
86,3
87,5
88,2
89,5
90,8
91,2
92,4
93,4
94,4
95,2
96,4
97,9
98,9
99,4
100,9
101,4
102,4
103,4
104,4
105,9
106,9
107,4
108,4
109,8
110,3
111,4
112,8
113,4
114,9
115,3
116,2
117,9
118,9
119,4
120,9
121,4
122,8
123,9
124,9
125,9
126,3
127,9
128,9
129,9
130,9
131,3
132,4
133,4
134,4
135,2
136,4
137,4
138,9
139,9
140,4
141,3
142,4
143,9
144,4
145,2
146,9
147,4
148,9
149,3
150,9
151,3
152,4
153,4
154,9
155,3
156,9
157,8
158,4
159,9
160,9
161,9
162,9
163,4
164,8
165,9
166,2
167,9
168,6
169,4
170,4
171,9
172,8
173,4
174,4
175,3
176,3
177,9
178,8
179,3
180,9
181,5
182,9
183,4
184,9
185,7
186,4
187,2
188,9
189,9
190,3
191,4
192,9
193,4
194,4
195,4
196,4
197,4
198,8
199,4
200,4
201,9
202,4
203,4
204,4
205,4
206,2
207,9
208,4
209,4
210,9
211,4
212,4
213,9
214,4
215,9
216,4
217,3
218,4
219,3
220,4
221,4
222,2
223,4
224,9
225,2
226,4
227,9
228,4
229,3
230,4
231,0
232,4
233,9
234,9
235,9
236,9
237,9
238,3
239,9
240,6
241,3
242,8
243,4
244,9
245,4
246,4
247,9
248,3
249,9
250,4
251,4
252,4
253,3
254,4
255,9
256,4
257,4
258,9
259,4
260,4
261,7
262,4
263,9
264,4
265,4
266,9
267,4
268,9
269,3
270,9
271,4
272,9
273,4
274,9
275,9
276,4
277,9
278,4
279,2
280,9
281,4
282,8
283,4
284,9
285,4
286,3
287,4
288,3
289,4
290,9
291,9
292,4
293,9
294,9
295,9
296,4
297,4
298,9
299,3
300,9
301,4
302,4
303,9
304,9
305,9
306,4
307,9
308,9
309,9
310,4
311,9
312,4
313,4
314,9
315,2
316,9
317,2
318,9
319,3
320,9
321,4
322,9
323,9
324,4
325,9
326,3
327,3
328,9
329,8
330,2
331,3
332,4
333,9
334,9
335,9
336,9
337,3
338,4
339,4
340,9
341,4
342,3
343,3
344,2
345,3
346,9
347,4
348,4
349,3
350,9
351,4
352,8
353,8
354,4
355,4
356,9
357,4
358,4
359,2
360,9
361,4
362,4
363,3
364,4
365,9
366,2
367,9
368,3
369,3
370,7
371,9
372,4
373,4
374,9
375,3
376,4
377,4
378,4
379,9
380,9
381,7
382,2
383,4
384,9
385,3
386,9
387,9
388,3
389,2
390,9
391,3
392,8
393,5
394,4
395,5
396,9
397,9
398,9
399,9
400,9
401,4
402,9
403,4
404,2
405,1
406,9
407,4
408,4
409,4
410,4
411,4
412,9
413,4
414,9
415,7
416,9
417,3
418,9
419,9
420,4
421,4
422,9
423,4
424,4
425,5
426,9
427,4
428,9
429,4
430,9
431,3
432,9
433,4
434,9
435,9
436,3
437,3
438,4
439,4
440,4
441,9
442,4
443,4
444,4
445,3
446,3
447,9
448,9
449,9
450,3
451,9
452,4
453,4
454,9
455,4
456,4
457,9
458,4
459,1
460,4
461,9
462,9
463,4
464,8
465,2
466,9
467,9
468,4
469,4
470,3
471,9
472,3
473,9
474,3
475,4
476,9
477,9
478,3
479,9
480,4
481,3
482,9
483,9
484,3
485,9
486,4
487,4
488,9
489,9
490,9
491,4
492,3
493,9
494,9
495,5
496,3
497,4
498,9
499,9
500,4
501,4
502,4
503,3
504,5
505,9
506,9
507,4
508,9
509,8
510,4
511,8
512,4
513,9
514,3
515,3
516,9
517,9
518,3
519,2
520,5
521,4
522,4
523,9
524,9
525,9
526,9
527,9
528,9
529,9
530,8
531,4
532,8
533,9
534,9
535,4
536,4
537,4
538,8
539,9
540,9
541,4
542,3
543,4
544,4
545,8
546,9
547,8
548,9
549,9
550,3
551,9
552,9
553,4
554,4
555,4
556,4
557,4
558,2
559,4
560,9
561,9
562,9
563,2
564,2
565,6
566,4
567,9
568,3
569,9
570,3
571,5
572,2
573,4
574,9
575,2
576,4
577,9
578,2
579,3
580,4
581,4
582,9
583,5
584,9
585,9
586,2
587,4
588,4
589,9
590,9
591,9
592,9
593,9
594,9
595,2
596,4
597,5
598,8
599,4
600,4
601,2
602,3
603,9
604,3
605,3
606,3
607,4
608,8
609,4
610,9
611,9
612,9
613,9
614,4
615,2
616,3
617,4
618,9
619,4
620,4
621,9
622,4
623,4
624,9
625,4
626,4
627,4
628,9
629,4
630,9
631,5
632,9
633,9
634,4
635,9
636,4
637,9
638,3
639,4
640,9
641,9
642,4
643,4
644,9
645,9
646,2
647,9
648,4
649,3
650,4
651,9
652,4
653,4
654,2
655,9
656,9
657,9
658,4
659,9
660,8
661,4
662,9
663,9
664,8
665,4
666,9
667,9
668,9
669,4
670,4
671,9
672,9
673,3
674,3
675,4
676,9
677,4
678,4
679,4
680,6
681,3
682,4
683,9
684,4
685,3
686,3
687,4
688,5
689,9
690,4
691,9
692,4
693,4
694,9
695,4
696,4
697,9
698,4
699,9
700,9
701,4
702,2
703,4
704,4
705,4
706,2
707,2
708,4
709,9
710,9
711,4
712,9
713,2
714,4
715,9
716,5
717,2
718,9
719,9
720,3
721,4
722,9
723,9
724,4
725,9
726,4
727,4
728,9
729,9
730,9
731,9
732,9
733,9
734,3
735,4
736,9
737,9
738,4
739,8
740,4
741,4
742,9
743,9
744,4
745,9
746,9
747,9
748,9
749,9
750,4
751,9
752,8
753,3
754,9
755,9
756,9
757,3
758,3
759,9
760,4
761,9
762,4
763,3
764,9
765,4
766,4
767,8
768,4
769,9
770,9
771,4
772,4
773,9
774,9
775,4
776,9
777,4
778,7
779,9
780,9
781,9
782,4
783,9
784,9
785,3
786,4
787,9
788,9
789,7
790,3
791,4
792,4
793,9
794,8
795,4
796,9
797,2
798,4
799,4
800,9
801,9
802,3
803,9
804,3
805,3
806,4
807,4
808,4
809,4
810,3
811,4
812,9
813,4
814,9
815,4
816,4
817,9
818,4
819,9
820,9
821,9
822,6
823,2
824,8
825,9
826,4
827,4
828,8
829,3
830,4
831,9
832,9
833,4
834,4
835,4
836,4
837,4
838,9
839,3
840,3
841,9
842,4
843,9
844,4
845,3
846,9
847,8
848,9
849,9
850,4
851,3
852,4
853,9
854,9
855,9
856,9
857,9
858,3
859,4
860,3
861,9
862,4
863,9
864,9
865,4
866,8
867,4
868,9
869,9
870,9
871,4
872,2
873,4
874,9
875,4
876,9
877,3
878,3
879,8
880,3
881,4
882,4
883,3
884,4
885,9
886,9
887,9
888,2
889,4
890,4
891,3
892,9
893,4
894,4
895,4
896,4
897,4
898,3
899,2
900,9
901,4
902,8
903,5
904,9
905,4
906,9
907,1
908,9
909,4
910,9
911,4
912,4
913,4
914,9
915,9
916,4
917,9
918,4
919,9
920,4
921,3
922,9
923,4
924,4
925,3
926,9
927,9
928,4
929,4
930,9
931,9
932,4
933,3
934,3
935,2
936,3
937,9
938,4
939,4
940,2
941,4
942,8
943,4
944,9
